         14009 function calls (14002 primitive calls) in 7.113 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\email\message.py:535(get_all)
        3    0.000    0.000    0.000    0.000 {built-in method winreg.QueryValueEx}
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\_methods.py:47(_sum)
        3    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\cookies.py:35(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\http\client.py:261(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\http\cookiejar.py:1357(add_cookie_header)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:343(expanduser)
        2    0.000    0.000    0.000    0.000 {built-in method winreg.OpenKey}
        1    0.000    0.000    0.000    0.000 {built-in method nt._path_isdir}
       22    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\threading.py:398(notify)
      118    0.000    0.000    0.000    0.000 <frozen os>:735(__iter__)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\models.py:588(prepare_auth)
